"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-lm-studie-logicalmodel","mii-lm-studie-logicalmodel","","","",0,*,"","","","null {[]} {[]}
","MII LM Studie LogicalModel","Logische Repräsentation der Forschungsvorhaben","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Studienarm.Einschlusskriterien","mii-lm-studie-logicalmodel.Studiendesign.Studienarm.Einschlusskriterien","","","",0,*,"","","","string {[]} {[]}
","Einschlusskriterien des Studienarms","Einschlusskriterien des Studienarms","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Studienarm.Einschlusskriterien",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Studienarm.Ausschlusskriterien","mii-lm-studie-logicalmodel.Studiendesign.Studienarm.Ausschlusskriterien","","","",0,*,"","","","string {[]} {[]}
","Ausschlusskriterien des Studienarms","Ausschlusskriterien des Studienarms","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Studienarm.Ausschlusskriterien",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien","","","",0,*,"","","","BackboneElement {[]} {[]}
","Einschlusskriterien einer Studie","Einschlusskriterien einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.id","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.extension","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.modifierExtension","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Kriterium","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Kriterium","","","",0,*,"","","","string {[]} {[]}
","Kriterium","Kriterium","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Kriterium",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Operator","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Operator","","","",0,*,"","","","string {[]} {[]}
","Operator des Kriteriums","Operator des Kriteriums","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Operator",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Masseinheit","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Masseinheit","","","",0,*,"","","","code {[]} {[]}
","Masseinheit des Kriteriums","Masseinheit des Kriteriums","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Masseinheit",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Wert","mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Wert","","","",0,*,"","","","Quantity {[]} {[]}
","Wert des Kriteriums","Wert des Kriteriums","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Einschlusskriterien.Wert",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien","","","",0,*,"","","","BackboneElement {[]} {[]}
","Ausschlusskriterien einer Studie","Ausschlusskriterien einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.id","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.extension","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.modifierExtension","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Kriterium","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Kriterium","","","",0,*,"","","","string {[]} {[]}
","Kriterium","Kriterium","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Kriterium",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Operator","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Operator","","","",0,*,"","","","string {[]} {[]}
","Operator des Kriteriums","Operator des Kriteriums","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Operator",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Masseinheit","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Masseinheit","","","",0,*,"","","","code {[]} {[]}
","Masseinheit des Kriteriums","Masseinheit des Kriteriums","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Masseinheit",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Wert","mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Wert","","","",0,*,"","","","Quantity {[]} {[]}
","Wert des Kriteriums","Wert des Kriteriums","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Ausschlusskriterien.Wert",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Studientyp","mii-lm-studie-logicalmodel.Studiendesign.Studientyp","","","",0,*,"","","","code {[]} {[]}
","Typ einer Studie","Typ einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Studientyp",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsziel","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsziel","","","",0,*,"","","","Quantity {[]} {[]}
","Rekrutierungsziel einer Studie","Rekrutierungsziel einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsziel",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand","","","",0,*,"","","","Count {[]} {[]}
","Rekrutierungsstand einer Studie","Rekrutierungsstand einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand",0,*,"","cnt-3:There SHALL be a code with a value of ""1"" if there is a value. If system is present, it SHALL be UCUM.  If present, the value SHALL be a whole number. {(code.exists() or value.empty()) and (system.empty() or system = %ucum) and (code.empty() or code = '1') and (value.empty() or value.hasValue().not() or value.toString().contains('.').not())}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}qty-3:If a code for the unit is present, the system SHALL also be present {code.empty() or system.exists()}"
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.id","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.extension","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.value","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.value","","","",0,1,"","","Y","decimal {[]} {[]}
","Numerical value (with implicit precision)","The value of the measured amount. The value includes an implicit precision in the presentation of the value.","The implicit precision in the value should always be honored. Monetary values have their own rules for handling precision (refer to standard accounting text books).","Precision is handled implicitly in almost all cases of measurement.","","","","","","","",,,,,"",,,,"Quantity.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.comparator","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.comparator","","","",0,1,"","Y","Y","code {[]} {[]}
","< | <= | >= | > - how to understand the value","How the value should be understood and represented - whether the actual value is greater or less than the stated value due to measurement issues; e.g. if the comparator is ""<"" , then the real value is < stated value.","","Need a framework for handling measures where the value is <5ug/L or >400mg/L due to the limitations of measuring methodology.","","If there is no comparator, then there is no modification of the value","","","","","",,"required","How the Quantity should be understood and represented.","http://hl7.org/fhir/ValueSet/quantity-comparator|4.0.1","",,,,"Quantity.comparator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.unit","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.unit","","","",0,1,"","","Y","string {[]} {[]}
","Unit representation","A human-readable form of the unit.","","There are many representations for units of measure and in many contexts, particular representations are fixed and required. I.e. mcg for micrograms.","","","","","","","",,,,,"",,,,"Quantity.unit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.system","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.system","","","",0,1,"","","Y","uri {[]} {[]}
","System that defines coded unit form","The identification of the system that provides the coded form of the unit.","","Need to know the system that defines the coded form of the unit.","","","","","","","",,,,,"",,,,"Quantity.system",0,1,"qty-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.code","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.code","","","",0,1,"","","Y","code {[]} {[]}
","Coded form of the unit","A computer processable form of the unit in some unit representation system.","The preferred system is UCUM, but SNOMED CT can also be used (for customary units) or ISO 4217 for currency.  The context of use may additionally require a code from a particular system.","Need a computable form of the unit that is fixed across all forms. UCUM provides this for quantities, but SNOMED CT provides many units of interest.","","","","","","","",,,,,"",,,,"Quantity.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.RekrutierungsstandGenauigkeit","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.RekrutierungsstandGenauigkeit","","","",0,*,"","","","code {[]} {[]}
","Genauigkeit eines Rekrutierungsstands einer Studie","Genauigkeit eines Rekrutierungsstands einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.RekrutierungsstandGenauigkeit",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.RekrutierungsstandDatum","mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.RekrutierungsstandDatum","","","",0,*,"","","","date {[]} {[]}
","Datum eines Rekrutierungsstands einer Studie","Datum eines Rekrutierungsstands einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Rekrutierungsstand.RekrutierungsstandDatum",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.Randomisierungsmethode","mii-lm-studie-logicalmodel.Studiendesign.Randomisierungsmethode","","","",0,*,"","","","string {[]} {[]}
","Randomisierungsmethode einer Studie","Randomisierungsmethode einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.Randomisierungsmethode",0,*,"",""
"mii-lm-studie-logicalmodel.Studiendesign.TeilVon","mii-lm-studie-logicalmodel.Studiendesign.TeilVon","","","",0,*,"","","","Reference {[]} {[]}
","Falls die Instanz einen Studienarm repräsentiert, Verweis auf die Hauptstudie","Falls die Instanz einen Studienarm repräsentiert, Verweis auf die Hauptstudie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studiendesign.TeilVon",0,*,"",""
"mii-lm-studie-logicalmodel.Studienregister","mii-lm-studie-logicalmodel.Studienregister","","","",0,*,"","","","BackboneElement {[]} {[]}
","Studienregister einer Studie","Studienregister einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienregister",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studienregister.id","mii-lm-studie-logicalmodel.Studienregister.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studienregister.extension","mii-lm-studie-logicalmodel.Studienregister.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienregister.modifierExtension","mii-lm-studie-logicalmodel.Studienregister.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienregister.Registername","mii-lm-studie-logicalmodel.Studienregister.Registername","","","",0,*,"","","","string {[]} {[]}
","Name eines Studienregisters","Name eines Studienregisters","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienregister.Registername",0,*,"",""
"mii-lm-studie-logicalmodel.Studienregister.RegisterId","mii-lm-studie-logicalmodel.Studienregister.RegisterId","","","",0,*,"","","","Identifier {[]} {[]}
","RegisterId eines Studienregisters","RegisterId eines Studienregisters","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienregister.RegisterId",0,*,"",""
"mii-lm-studie-logicalmodel.Studienregister.url","mii-lm-studie-logicalmodel.Studienregister.url","","","",0,*,"","","","string {[]} {[]}
","URL eines Studienregisters","URL eines Studienregisters","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienregister.url",0,*,"",""
"mii-lm-studie-logicalmodel.Publikation","mii-lm-studie-logicalmodel.Publikation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Publikationen eines Forschungsvorhabens","Publikationen eines Forschungsvorhabens","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Publikation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Publikation.id","mii-lm-studie-logicalmodel.Publikation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Publikation.extension","mii-lm-studie-logicalmodel.Publikation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Publikation.modifierExtension","mii-lm-studie-logicalmodel.Publikation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Publikation.url","mii-lm-studie-logicalmodel.Publikation.url","","","",0,*,"","","","string {[]} {[]}
","URL einer Publikation","URL einer Publikation","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Publikation.url",0,*,"",""
"mii-lm-studie-logicalmodel.Publikation.Titel","mii-lm-studie-logicalmodel.Publikation.Titel","","","",0,*,"","","","string {[]} {[]}
","Titel einer Publikation","Titel einer Publikation","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Publikation.Titel",0,*,"",""
"mii-lm-studie-logicalmodel.Publikation.Autor","mii-lm-studie-logicalmodel.Publikation.Autor","","","",0,*,"","","","string {[]} {[]}
","Autor einer Publikation","Autor einer Publikation","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Publikation.Autor",0,*,"",""
"mii-lm-studie-logicalmodel.Rekrutierungsstatus","mii-lm-studie-logicalmodel.Rekrutierungsstatus","","","",0,*,"","","","code {[]} {[]}
","Rekrutierungsstatus einer Studie","Rekrutierungsstatus einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Rekrutierungsstatus",0,*,"",""
"mii-lm-studie-logicalmodel.Studienphase","mii-lm-studie-logicalmodel.Studienphase","","","",0,*,"","","","code {[]} {[]}
","Studienphase einer Studie","Studienphase einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienphase",0,*,"",""
"mii-lm-studie-logicalmodel.Studienstatus","mii-lm-studie-logicalmodel.Studienstatus","","","",0,*,"","","","code {[]} {[]}
","Studienstatus einer Studie","Studienstatus einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienstatus",0,*,"",""
"mii-lm-studie-logicalmodel.Datenerhebung","mii-lm-studie-logicalmodel.Datenerhebung","","","",0,*,"","","","BackboneElement {[]} {[]}
","Beschreibung einer Datenerhebung einer Studie","Beschreibung einer Datenerhebung einer Studie","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Datenerhebung",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Datenerhebung.id","mii-lm-studie-logicalmodel.Datenerhebung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Datenerhebung.extension","mii-lm-studie-logicalmodel.Datenerhebung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
